제목,내용
"SK하이닉스, ‘AI PC 맞춤형’ 321단 QLC SSD 최초 양산…델에 납품",내용 저장 실패
"""해외 확대 가속""…에이아이트릭스, '의료AI' 인니 허가","'바이탈케어' 의료기기 허가 획득 '미국·베트남·홍콩' 이어 허가 확보 허가 통해 동남아 시장 진출 탄력 [서울=뉴시스] 의료 인공지능(AI) 기업 에이아이트릭스는 인도네시아 보건부(MoH)로부터 환자 상태 악화 예측 인공지능 솔루션 'AITRICS-바이탈케어(VC)'의 의료기기 허가를 획득했다고 9일 밝혔다. (사진=에이아이트릭스 제공) 2026.04.09. [email protected] *재판매 및 DB 금지 [서울=뉴시스]송종호 기자 = 에이아이트릭스가 인도네시아에서 의료기기 허가를 획특하며 동남아시아 시장 진출에 탄력을 받을 전망이다. 의료 인공지능(AI) 기업 에이아이트릭스는 인도네시아 보건부(MoH)로부터 환자 상태 악화 예측 인공지능 솔루션 'AITRICS-바이탈케어(VC)'의 의료기기 허가를 획득했다고 9일 밝혔다. 바이탈케어는 병원 내 전자의무기록(EMR) 데이터를 기반으로 환자의 상태 악화를 조기에 예측하는 의료 AI 솔루션이다. 일반 병동에서는 ▲급성 중증이벤트(사망·중환자실 전실·심정지) ▲패혈증 ▲심정지 발생 위험을 예측하고, 중환자실에서는 ▲사망 위험을 예측해 의료진이 위험 상태에 놓인 환자를 신속하게 파악하고 선제적으로 대응할 수 있도록 지원한다. 인도네시아 보건부는 최근 ‘2025-2029 디지털 의료 혁신 전략(Digital Health Transformation Strategy, DHTS)’을 발표하며, 통합 보건 데이터 플랫폼 '사투세햇(SATUSEHAT)'을 중심으로 스마트 병원 구축과 AI 기반 독립형 소프트웨어 의료기기(SaMD) 도입 확대를 본격 추진하고 있다. 특히 동남아시아에서 최대 인구를 보유한 인도네시아는 디지털 헬스케어 인프라 구축이 빠르게 진행되는 가운데, 전국 단일 의료 데이터 플랫폼을 중심으로 의료기관 간 데이터 연계와 상호운용 체계가 구축되며 의료 AI 도입 환경도 확대되고 있다. 바이탈케어는 국내를 비롯해 미국, 베트남, 홍콩에 이어 이번 인도네시아까지 총 5개국에서 허가를 획득하며 글로벌 확장 기반을 마련했다. 이를 토대로 추가 해외 시장 확대를 이어갈 방침이다. 김광준 에이아이트릭스 대표는 ""이번 허가는 단순한 시장 진입을 넘어 바이탈케어가 다양한 의료 환경과 규제 체계에서 활용될 수 있음을 확인한 성과""라고 말했다. 이어 ""앞으로도 축적된 임상 데이터와 인허가 경험을 바탕으로 글로벌 사업 확장을 지속해 나가겠다""고 덧붙였다. 한편, 에이아이트릭스는 이번 허가 이후 인도네시아 현지 규제에 따른 사후관리 절차를 이어간다는 계획이다. 동시에 싱가포르, 말레이시아 등에서도 허가 절차를 진행하며 동남아시아 시장 확대해 나갈 방침이다. ◎공감언론 뉴시스 [email protected]"
AI 수요에 메모리값 폭등…PC·태블릿도 줄줄이 가격 인상,지난해부터 이어진 메모리·스토리지 등 주요 부품 가격 급등으로 국내외 PC 가격 인상이 가속화하고 있다. 이에 따라 PC 제조 원가에서 비중이 큰 소비자용 메모리 가격이 오르며 완제품 가격 인상을 자극하고 있다. 국내에서는 LG전자가 지난 1일부터 '그램' 일부 모델 가격을 최대 100만원 인상했다. 인공지능이 자동으로 줄인 '세 줄 요약' 기술을 사용합니다. 전체 내용을 이해하기 위해서는 기사 본문과 함께 읽어야 합니다.
"SKT ""6G시대 AI 고속도로 깔겠다…CDMA 신화 이어갈 것""",사이트맵메뉴 열기 증권 경제 부동산 산업·IT 정치 사회 국제 문화·라이프 오피니언 전국 Visual-News
"""AX 비용 절감"" 베스핀글로벌, '헬프나우 AI 파운드리' 출시","AI 오케스트레이션 플랫폼 기업의 AI 도입 시행착오 시 비용 절감 기대 4월 한정 특별 혜택 프로모션 실시 [서울=뉴시스]오동현 기자 = 베스핀글로벌이 인공지능 전환(AX) 시 발생하는 시행착오 비용을 절감할 수 있는 인공지능(AI) 오케스트레이션 플랫폼 ‘헬프나우 AI 파운드리(HelpNow AI Foundry)’를 공식 출시하고, 이를 기념해 4월 특별 프로모션을 진행한다고 9일 밝혔다. ‘헬프나우 AI 파운드리’는 AI 에이전트의 설계부터 운영, 성과 관리까지 기업의 AI 도입 전 여정을 통합하고 효율적으로 관리할 수 있도록 단일 플랫폼에서 통합 지원한다. 베스핀글로벌은 국내 최초로 AI 경영시스템 국제인증(ISO/IEC 42001)을 획득하며 AI 솔루션의 안정성과 신뢰도를 입증했고 현재 공공, 금융, 제조 등 다양한 산업군에서 AX 도입 및 운영 성과를 창출하고 있다. 제품 출시를 기념해 4월 한달 간 도입 의향서(LOI)를 제출하는 기업을 대상으로 프로모션을 진행한다. 4월 내 LOI(도입 의향서) 확정시 7월 말까지 동일한 혜택을 보장해 고객사가 안정적으로 예산을 수립하고 의사결정을 내릴 수 있도록 지원할 방침이다. 프로모션은 선착순 10개사 한정으로 진행되며, 분산된 AI 모델과 데이터를 하나로 연결하는 ‘헬프나우 AI 파운드리 스탠다드’를 기존 구축 비용 대비 33% 할인된 가격으로 제공한다. 또한 전략 컨설팅 서비스인 ‘저니 투 AI(Journey to AI)’를 결합한 종합 AX 패키지 도입 시, 정상가 대비 40%의 할인율을 적용하는 특별 혜택을 선보인다. 한선호 베스핀글로벌 최고인공지능책임자(CAIO)는 ""AI 도입이 확대될수록 기업이 해결해야 할 운영 과제와 비용 부담도 함께 커지는 ‘생산성의 역설’이 발생하고 있다""며 ""이러한 장벽 앞에서 많은 기업이 비용 문제로 혁신의 골든타임을 놓치고 있는 현실을 더 이상 지켜볼 수 없었다""고 말했다. 이어 ""이번 프로모션은 단순한 가격 혜택을 넘어 수십억 원 규모의 시행착오를 예방하고 실질적인 비즈니스 가치를 창출할 수 있는 기회""라며 ""베스핀글로벌이 축적해 온 AX 경험을 최대한 많은 기업과 공유하기 위해 전례없는 수준의 혜택으로 기획했다""고 덧붙였다. ◎공감언론 뉴시스 [email protected]"
AI 가상인물로 제품 광고 때 표시 의무화,내용 저장 실패
[AI픽] 벚꽃 인파에도 끊김 없었다…SKT 'AI 관제' 효과,SK텔레콤은 지난 7일까지 이어진 벚꽃 축제 기간 인공지능 기반 코어 네트워크 관제 시스템을 적용해 안정적인 통신 서비스를 제공했다고 8일 밝혔다. 스파이더는 코어 네트워크 전 장비를 통합 관제하고 알람과 통계 데이터를 자동 분석하는 시스템이다. SK텔레콤은 스파이더와 함께 AI 기반 네트워크 운영 시스템 'A-원'을 병행 운영해 트래픽 증가에 대응하고 통신 품질을 유지했다고 밝혔다. 인공지능이 자동으로 줄인 '세 줄 요약' 기술을 사용합니다. 전체 내용을 이해하기 위해서는 기사 본문과 함께 읽어야 합니다.
"11번가, '먹고방' 라이브방송 신설…""AI 추천 레시피로 먹방""","11번가는 생성형 인공지능이 추천하는 레시피와 쿡방·먹방을 결합한 신규 라이브 방송 코너 '먹고방'을 신설했다고 9일 밝혔다. 11번가는 이날 방송을 시작으로 '먹고방'을 매주 수요일 오후 6시 정기 코너로 편성해 운영할 예정이다. 11번가 관계자는 ""식단 추천이나 레시피 탐색에 AI를 활용하는 트렌드를 요리·먹방 콘텐츠에 접목한 라이브 방송 코너를 선보인다""며 ""현장감과 몰입감을 더하고, 11번가의 신선·가공 먹거리들도 합리적인 가격에 제공하는 방송이 될 것""이라고 말했다. 인공지능이 자동으로 줄인 '세 줄 요약' 기술을 사용합니다. 전체 내용을 이해하기 위해서는 기사 본문과 함께 읽어야 합니다."
"KB금융, 세계 최대 AI 경진대회 ‘로보컵 2026 인천’ 후원",내용 저장 실패
인텔 부활하나…머스크 AI 반도체 기지 '테라팹' 합류,사이트맵메뉴 열기 증권 경제 부동산 산업·IT 정치 사회 국제 문화·라이프 오피니언 전국 Visual-News
"“식중독인 줄 알았는데”…의료AI, 뇌경색 어르신 살렸다","현장 의료진 의료AI 활용…뇌경색 확인해 치료 '에이뷰 뉴로캐드'가 진단 보조로 의료진 도와 '의료AI'로 지역 중증 응급환자 수용 역량 강화 [서울=뉴시스] 의료 인공지능(AI) 전문기업 코어라인소프트는 AI 기반 뇌 영상 검출·진단보조 '에이뷰 뉴로캐드(AVIEW NeuroCAD)'가 비급여 시장 진입 이후 누적 사용량 5만 건을 돌파헸다고 9일 밝혔다. (사진=코어라인소프트 제공) 2026.04.09. [email protected] *재판매 및 DB 금지 [서울=뉴시스]송종호 기자 = 경북 포항시 남구 포항세명기독병원. 부산에서 포항을 찾은 61세 환자는 갑작스러운 의식 저하로 응급실에 실려 왔다. 내원 당시 상태는 빠르게 악화되는 양상이었고, 의료진은 곧바로 영상 검사를 진행했다. 이 과정에서 인공지능(AI) 기반 뇌 영상 검출·진단보조 솔루션 '에이뷰 뉴로캐드(AVIEW NeuroCAD)'가 함께 활용됐다. 검사와 동시에 뇌혈관 폐색이 확인됐고, 약 1시간 30분 만에 혈전 제거 시술이 진행됐다. 환자는 초기 판단과 대응이 지체되지 않은 덕분에 큰 후유증 없이 회복할 수 있었다. 또 울릉도에서 같은 병원으로 이송된 66세 환자는 타 기관에서 처음에는 식중독으로 의심했다. 하지만 의료진은 증상의 미묘한 차이를 놓치지 않고 컴퓨터단층촬영(CT) 검사를 시행했고, 그 결과 뇌경색이 확인됐다. 자칫 진단이 지연될 수 있었던 상황에서 신속한 영상 판독으로 치료시기를 놓치지 않을 수 있었다. 이 사례에서도 '에이뷰 뉴로캐드'가 의료진을 보조했다. 9일 의료계에 따르면 이처럼 초기 증상이 모호하거나 다른 질환으로 오인될 수 있는 상황에서 얼마나 빠르고 정확하게 이상을 포착하느냐는 환자의 예후를 좌우한다. 특히 뇌출혈이나 뇌경색 같은 심뇌혈관질환은 몇 분, 몇 시간이 생명을 좌우한다. CT 촬영 후 판독과 치료 결정까지 걸리는 시간을 얼마나 줄이느냐가 치료 결과를 결정짓는 핵심이다. 포항세명기독병원 역시 이 시간을 줄이기 위해 코어라인소프트가 개발한 '에이뷰 뉴로캐드' 도입한 것이다. 에이뷰 뉴로캐드는 CT를 찍는 순간 AI가 출혈 여부와 위치, 중증도를 분석하고, 결과를 의료진에게 전달하는 구조다. 의료진은 병원으로 이동하는 중에도 휴대폰으로 영상과 분석 결과를 확인하며 치료를 준비할 수 있다. 이번 사례는 의료AI가 단순 보조 도구를 넘어 의료진의 의사결정 시간을 앞당기는데 도움을 주고 있음을 보여준다. 나아가 수도권 대형병원과 지역 거점 병원 간의 간극을 줄이고, 지역 거점 병원의 중증 응급환자 수용 역량을 강화하는 데에도 도움이 될 수 있음을 시사한다. 한편, 에이뷰 뉴로캐드는 4월 현재 비급여 시장 진입 이후 누적 사용량 5만 건을 기록했다. 지난해 10월 3만 건을 달성한 이후 약 6개월 만에 2만 건이 추가됐다. 회사 측은 이에 대해 ""의료 AI 솔루션이 도입 단계를 넘어 실제 임상 현장에서 반복적으로 활용되고 있음을 보여주는 지표""라고 설명했다. 코어라인소프트는 에이뷰 뉴로캐드 적용 범위를 대동맥박리(Aorta)와 폐색전증(PE)으로 확대해 '응급 AI 패키지' 중심의 해외 시장 진출로 강화할 계획이다. ◎공감언론 뉴시스 [email protected]"
"KAIST 과학자, 노벨상 베이커 교수와 'AI 단백질' 제작·검증·특허 완료",내용 저장 실패
"[AI픽] 크래프톤 오버데어, AI 기반 게임 제작 기능 공개",크래프톤은 자회사 오버데어가 자체 개발한 인공지능 기반 게임 제작 기능 '스튜디오 에이전트'를 공개했다고 8일 밝혔다. 이용자는 복잡한 개발 과정 없이 대화하듯 명령을 입력하는 것만으로 게임을 제작할 수 있다. AI 에이전트는 오버데어 스튜디오 에디터와 내부적으로 통신하며 스크립트를 포함한 다양한 오브젝트 생성·편집·적용 과정을 사용자 지시에 맞춰 자율적으로 수행한다. 인공지능이 자동으로 줄인 '세 줄 요약' 기술을 사용합니다. 전체 내용을 이해하기 위해서는 기사 본문과 함께 읽어야 합니다.
"""韓 온라인 유통 경쟁력, 차별화·AI 혁신이 핵심""","국회 온라인유통산업발전포럼 정책 토론회 K-유통플랫폼 차별화 성장 전략 방향 모색 [서울=뉴시스] 온라인유통산업발전포럼. (사진=한국온라인쇼핑협회 제공)  *재판매 및 DB 금지 [서울=뉴시스]동효정 기자 = 국회 온라인유통산업발전포럼은 8일 국회의원회관에서 온라인플랫폼 산업의 경쟁력 강화와 해외시장 진출 전략을 주제로 정책 토론회를 열었다. 한국온라인쇼핑협회 주관하고 산업통상부와 중소벤처기업부 후원으로 진행된 이날 토론회에는 학계·법조계·산업계·정부 전문가들이 발제와 토론에 참여했다. 김성원 국민의힘 의원은 온라인 플랫폼을 국가 전략 산업으로 보고 중소기업 글로벌 진출을 제도적으로 지원해야 한다고 강조했다. 허종식 더불어민주당 의원은 글로벌 플랫폼과 경쟁 속 국내 산업 경쟁력 확보와 공정한 생태계 조성의 필요성을 제기했다. 조성현 한국온라인쇼핑협회 회장은 ""온라인 유통산업은 양적 성장의 단계를 넘어 질적 경쟁과 글로벌 확장의 시대로 빠르게 전환되고 있다""며 ""앞으로 차별화된 상품과 서비스 그리고 데이터와 인공지능(AI) 기반의 혁신 역량이 산업 전반의 경쟁력을 좌우하는 핵심 요소가 될 것""이라고 강조했다. 주제발표에서는 글로벌 디지털 유통 환경 변화와 국내 플랫폼 산업의 대응 전략이 논의됐다. 이유석 동국대 교수는 규모·효율 중심에서 차별화·데이터 기반 혁신 중심으로 경쟁 패러다임이 전환되고 있다고 분석했다. 장윤성 대한무역투자진흥공사(KOTRA) 팀장은 옴니채널 구축, 한류 팬덤 활용, 맞춤형 지원 강화, 역직구 인프라 개선 등을 해외진출 전략으로 제안했다. 토론에서는 학계·법조계·산업계·정부 관계자가 참여해, 플랫폼 서비스 수출 국가 전략화, 신뢰 기반 기술 경쟁력 확보, AI·소셜미디어 활용, 규제 리스크 관리 등 구체적 방안을 논의했다. 업계 대표들은 K-패션 등 국내 브랜드의 해외 진출 확대를 위한 글로벌 유통망과 마케팅 지원, 물류·풀필먼트 인프라 고도화 필요성을 강조했다. 서상범 무신사 대외협력실장은 ""K-패션 등 국내 브랜드의 해외 진출 확대를 위해 플랫폼 기반 글로벌 유통망과 마케팅 지원 체계 강화가 필요하다""고 말했다. 김시광 컬리 대외정책실장은 ""차별화된 상품 및 서비스 경쟁력 확보와 함께 물류·풀필먼트 등 인프라 고도화를 통한 글로벌 시장 대응 역량 강화가 필요하다""고 했다. 이번 토론회는 국내 온라인 유통 산업의 글로벌 경쟁력 확보와 플랫폼 기반 해외 진출 확대, 산업 생태계 경쟁력 강화를 위한 정책 방향을 종합적으로 논의하는 자리였다. 포럼은 현재 각 상임위원회별 여야 의원 17명으로 구성된 의원 연구단체다. ◎공감언론 뉴시스 [email protected]"
"김영록 ""해남 'AI'·강진 'K-관광'·화순 '바이오'개발""","김영록 더불어민주당 전남광주특별시장 예비후보가 8일 전남 해남과 강진, 화순을 돌며 지역별 특화 공약을 발표했다. 김 후보는 ""태양광 5.4GW, 서남권 해상풍력 11.7GW와 연계해 200만평 규모의 RE100 산업단지로 완성하고, 화원산단을 글로벌 해상풍력의 핵심 전진기지로 육성하겠다""며 ""젊은 인재들이 스스로 찾아오는 살고 싶은 도시를 만들어, 해남을 인구 10만의 AI·에너지 미래도시로 키우겠다""고 약속했다. 이어 강진군의회에서 기자회견을 연 김 후보는 ""강진을 '글로벌 K-관광 콘텐츠 허브'로 육성하겠다""고 밝혔다. 인공지능이 자동으로 줄인 '세 줄 요약' 기술을 사용합니다. 전체 내용을 이해하기 위해서는 기사 본문과 함께 읽어야 합니다."
"""AI로 취약점 잡는다""…앤트로픽, 아마존·구글·MS와 보안 연합 출범","미공개 AI 모델 '클로드 미토스'로 수천건 제로데이 취약점 탐지 핵심 소프트웨어 보호 위한 산업 협력 프로젝트 가동 [서울=뉴시스] 앤트로픽 CI. (사진=앤트로픽 제공) *재판매 및 DB 금지 [서울=뉴시스]윤정민 기자 = 인공지능(AI) 챗봇 '클로드' 운영사인 앤트로픽이 아마존, 구글, 마이크로소프트(MS), 애플, 크라우드스트라이크 등과 손잡고 AI 기반 차세대 사이버 보안 대응 체계를 구축했다. 앤트로픽은 전 세계 핵심 소프트웨어 보안 강화를 목표로 하는 이니셔티브 '프로젝트 글래스윙'을 출범한다고 8일 밝혔다. 이 이니셔티브는 앤트로픽이 개발한 미공개 프론티어 모델 '클로드 미토스 프리뷰'를 기반으로 운영된다. 앤트로픽은 '미토스 프리뷰'가 사이버 보안에 특화된 별도 훈련 없이도 에이전틱 코딩과 추론 능력을 기반으로 보안 역량을 발휘한다고 소개했다. 앤트로픽에 따르면 미토스 프리뷰는 최근 수주간 수천 건의 제로데이(소프트웨어나 시스템의 보안 취약점 중에서 개발사나 보안 업계가 아직 인지하지 못했거나 패치가 나오지 않은 부분) 취약점을 발견했다. 탐지된 취약점 다수는 심각도가 높거나 발견이 까다로운 유형으로 수십년간 잠재돼 있던 사례도 상당수 포함됐다. 예를 들어 이 모델은 운영체제 오픈BSD에서 27년 된 버그를 찾아냈다. 자동화 테스트 도구가 500만회 이상 검사를 수행하고도 놓쳤던, 16년간 존재했던 영상 소프트웨어 취약점도 탐지했다. 프로젝트 파트너사와 검증된 기관만 이 모델을 이용할 수 있다. 파트너사는 아마존, MS, 애플, 브로드컴, 시스코, 크라우드스트라이크, 리눅스 재단, 팔로알토 네트웍스 등이다. 이들은 모델을 활용해 방어 중심의 보안 연구를 수행·공유해 산업 전반의 보안 수준 향상에 기여할 예정이다. 앤트로픽은 클로드 미토스 프리뷰 역량이 사이버 보안 분야를 근본적으로 변화시킬 수 있다는 판단 아래 프로젝트 글래스윙을 출범했다고 설명했다. 이에 앤트로픽은 핵심 소프트웨어 인프라를 구축·운영하는 약 40개 추가 조직에도 접근 권한을 확대해 자체 시스템과 오픈소스 생태계 전반의 취약점을 점검하고 대응할 수 있도록 지원한다. 이와 함께 최대 1억 달러(약 1480억원) 규모의 사용 크레딧을 제공하고 오픈소스 보안 강화를 위해 관련 단체에 400만 달러(약 60억원)를 별도로 기부할 계획이다. 앤트로픽은 사이버 보안에 대해 어느 한 조직이 단독으로 해결할 수 있는 문제가 아닌 만큼 프론티어 AI 개발사·소프트웨어 기업·보안 연구자·오픈소스 유지관리자·각국 정부의 공조가 필요하다고 설명했다. 다만 세계 사이버 인프라 방어가 수년에 걸친 장기 과제인 데 반해 AI 역량은 불과 몇 달 새에도 빠르게 발전할 수 있다는 점에서 업계 차원의 선제적 대응이 시급하다고 강조했다. 이에 앤트로픽은 미토스 프리뷰의 공격·방어 사이버 역량을 주제로 미 정부 관계자들과 지속적인 협의를 진행해 왔다고 밝혔다. 다리오 아모데이 앤트로픽 최고경영자(CEO)는 엑스를 통해 ""점점 더 유능해지는 AI 시스템으로 인한 사이버 위협에 정면으로 맞서기 위해 세계 유수의 기업이 프로젝트 글래스윙에 합류하게 돼 자랑스럽다""고 말했다. 이어 ""AI 기반 사이버 역량이 등장하기 전보다 근본적으로 더 안전한 인터넷과 세상을 만들 수 있는 진정한 기회가 생길 것""이라고 전했다. ◎공감언론 뉴시스 [email protected]"
"LG U+,심플렉시티 전시회 1만 5000명 방문…AI 기술 기반 전시",내용 저장 실패
"LG CNS-SAP, AI 품은 ERP로 업무혁신 선도한다",고재우 기자 구독 +
"TBH글로벌, AI 플랫폼 2종 추가 출시","[서울=뉴시스] 김경택 기자 = 패션 전문기업 TBH글로벌이 업무 효율성 극대화를 위한 인공지능(AI) 플랫폼 2종을 추가 출시해 프론트·미들·백오피스를 아우르는 기업 운영 전 영역의 AI 도입 체계를 완성했다. TBH글로벌은 AI 기반 콘텐츠·상세페이지 자동화 플랫폼 'FIT 크리에이티브(FIT Creative)'와 사무 오퍼레이션 자동화 플랫폼 'FIT 오피스(FIT Office)'를 출시했다고 9일 밝혔다. 'FIT 크리에이티브'는 자사몰 상세페이지 제작과 마케팅 콘텐츠 생성을 자동화하는 플랫폼이다. 회사 측에 따르면 기존에는 새로운 시즌에 홈페이지를 제작하는 데 약 한 달 반의 기간이 소요됐으나, AI 시스템 도입 이후 시즌당 약 1000~1500개 분량의 상세페이지를 30분 만에 생성할 수 있게 됐다. 이러한 자동화는 축적된 상품 데이터 자산을 기반으로 한다. 일반적으로 패션업계에서는 이미지 파일이 일련번호 중심으로 관리돼 수작업이 불가피하지만, TBH글로벌은 모든 상품 이미지를 품번, 컬러, 모델별로 체계적으로 빅데이터화해 AI가 이를 자동 매칭·생성할 수 있는 구조를 구축했다. TBH글로벌은 생성형 AI를 활용한 마케팅 콘텐츠 제작에도 속도를 낸다는 방침이다. 인스타그램 등 SNS 채널용 이미지와 콘텐츠를 AI로 제작해 마케팅 테스트를 진행한 결과, 실제 모델·연예인 촬영 사진보다 AI 생성 콘텐츠의 고객 반응이 유사하거나 일부 소재에서는 AI가 고객 클릭 수 등에서 더 높게 나타난 것으로 확인됐다. TBH글로벌은 이를 바탕으로 콘텐츠 제작 비용, 시간을 절감하고 타겟 맞춤형 제작 역량을 강화해나갈 계획이다. 'FIT 오피스'는 사무 오퍼레이션 자동화를 위한 플랫폼이다. 반복적이고 정형화된 업무를 AI가 수행하도록 설계해 업무 효율성과 만족도를 동시에 높이는 데 초점을 맞췄다. TBH글로벌은 이번 플랫폼 론칭을 계기로 단순 반복 업무를 최소화하고, 전사 차원의 AI 전환을 더욱 고도화해나갈 방침이다. TBH글로벌은 향후 매출·영업·이익 관리를 위한 AI 플랫폼 'FIT 퍼포먼스(FIT Performance)'도 추가 출시한다는 계획이다. ERP(전사적자원관리)와 판매 데이터를 AI로 연결해, 보고서 작성과 분석 데이터 생성 과정에서의 사람 개입을 최소화하고 실시간으로 주요 경영지표를 제공받는 게 1차 목표다. TBH글로벌 관계자는 ""이번 2종의 AI 플랫폼 출시로 회사는 AI 전환 트렌드에 최적화된 기업 운영환경을 조성하게 됐다""며 ""기존 플랫폼들이 매출 확대를 위한 플랫폼이었다면, 이번 플랫폼은 이익과 생산성을 극대화하기 위한 플랫폼이라는 점에서 의미가 크다""고 말했다. 그는 이어 ""TBH글로벌은 전사 경영 체제에 AI를 적극 활용해 업계 선도적 입지를 지속 다져나갈 계획""이라며 ""이러한 자동화 노력이 단순한 비용 절감을 넘어 상품 온라인 출시 시점을 앞당기고 매출 기회를 확대하는 등 운영 전반의 경쟁력 강화로 이어질 것으로 기대한다""고 덧붙였다. ◎공감언론 뉴시스 [email protected]"
“뱅킹~투자 AI비서 제공 …몽골시장 진출도 본격화” [비즈 Who],"윤호영 카카오뱅크 대표 인터넷전문은행 카카오뱅크의 윤호영(사진) 대표이사는 “카카오뱅크의 다음 미래는 인공지능(AI)이라는 강력한 엔진을 장착하고 글로벌 영토로 나아가는 시간이 될 것”이라고 밝혔다. 윤 대표는 8일 서울 여의도 페어몬트 앰버서더 서울 호텔에서 기자간담회를 열고 AI와 글로벌 진출을 축으로 한 미래성장 전략을 발표했다. 그는 “카카오뱅크가 지향하는 AI 서비스는 뱅킹·결제·투자 등 모든 금융 영역의 경계를 허무는 것”이라며 “AI시대 금융은 고객에게 먼저 다가가는 비서가 될 것”이라고 소개했다. 카카오뱅크는 2분기에 금융상품을 비교·투자할 수 있는 투자 탭을 신설하고, AI 기반 투자 에이전트 기능을 적용한다. 흩어진 결제 정보를 모아서 관리하는 결제 홈을 연내 개설하고, 개인의 결제 데이터를 바탕으로 조언하는 ‘AI가 관리해 주는 소비’기능을 추가할 예정이다. AI와 자연스러운 대화만으로 이런 기능을 이용할 수 있다. 카카오뱅크는 경쟁사와 차별화된 AI 역량으로 독점적인 앱(애플리케이션) 기반 데이터, 자체 개발한 AI 대형언어모델(LLM) ‘카나나’를 들었다. 윤 대표는 “현재 국내 금융회사들은 망 분리, 개인정보 이슈로 인해 챗GPT나 제미나이와 같은 해외 기업의 AI 모델은 활용하지 못한다”고 설명했다. 해외 사업과 관련해선 인도네시아, 태국에 이어 몽골 진출 계획을 밝혔다. 비금융 데이터를 활용해 개발한 신용평가모델(CSS)인 ‘카카오뱅크 스코어’를 몽골 금융 기관에 수출할 계획이다. 윤 대표는 “몽골 진출은 카카오뱅크의 포용금융 역량을 세계로 수출한다는 데 큰 의미가 있다”고 전했다. 앞서 카카오뱅크가 태국 SCBX 그룹과 만든 합작은행인 ‘뱅크X’는 내년 상반기 영업을 시작한다. 송은아 선임기자 sea@segye.com 기자페이지 바로가기 Copyright ⓒ 세계일보. 무단 전재 및 재배포 금지"
"앤트로픽, 해킹 대응 AI 제한적 공개…빅테크에 먼저 푼다","해킹 기술 고도화 따른 사이버 '군비 경쟁' 대응…일반 공개는 보류 ""인간 연구자보다 수천 건 취약점 빨리 찾아내""…보안 패러다임 변화 예고 [서울=뉴시스] 7일(현지 시간) CNN 등 외신에 따르면 앤트로픽은 아마존·애플·구글·마이크로소프트(MS)·JP모건 체이스 등 주요 기업에 자사의 신규 모델 '클로드 미토스 프리뷰(Claude Mythos Preview)'를 제공한다고 밝혔다. 앤트로픽 CI. (사진=앤트로픽 제공). 2026.04.08. *재판매 및 DB 금지 [서울=뉴시스]박미선 기자 = 인공지능(AI) 스타트업 앤트로픽이 해커들의 AI 악용에 대응하기 위해 자사의 보안 특화 모델을 세계 주요 빅테크 기업들에 우선 제공한다. 7일(현지 시간) CNN 등 외신에 따르면 앤트로픽은 아마존·애플·구글·마이크로소프트(MS)·JP모건 체이스 등 주요 기업에 자사의 신규 모델 '클로드 미토스 프리뷰(Claude Mythos Preview)'를 제공한다고 밝혔다. 이 모델은 소프트웨어의 버그(결함)를 탐지하고 특 해킹 기법의 실제 작동 여부를 시험하는 기능을 갖췄다. 앤트로픽은 이 모델을 일반에 공개하지 않고 제한적으로 배포하기로 했다. 사이버 범죄자나 국가 정보기관이 악용할 경우 강력한 공격 도구가 될 수 있다는 우려에서다. 앤트로픽의 AI 모델 방어를 총괄하는 로건 그레이엄은 ""안전성을 확신하기 전까지 공개하기 어렵다""고 밝혔다. 최근 AI는 취약점 탐지 능력을 넘어, 취약점 공개부터 공격 코드 개발까지의 시간 격차를 크게 줄이고 있다는 점에서 우려가 커지고 있다. 이에 앤트로픽은 대형 플랫폼 기업에 먼저 모델을 제공해 공격자보다 방어자가 먼저 대응하는 구조를 만들겠다는 전략이다. 전문가들은 AI가 이미 인간을 넘어서는 속도로 취약점을 탐색하고 있으며, 단일 AI가 수백 명의 해커보다 빠르게 공격을 수행할 수 있다고 보고 있다. 앤트로픽은 실제로 미토스가 최근 몇 주간 인간 연구자들이 찾아내기 힘든 미공개 소프트웨어 취약점을 수천 건이나 발견하는 성과를 거뒀다고 주장했다. 미국 정부에서도 관련 역량을 브리핑하고 기술 평가에 협력 중이다. 보안 업계에서는 이번 기술이 사이버 보안의 '임계점'이 될 것으로 보고 있다. 보안 기업 크노스틱의 가디 에브론 창업자는 ""공격자와 방어자가 동일한 AI 능력을 갖는 시대가 열리고 있다""며 ""방어자도 AI를 활용하지 않으면 뒤처질 수밖에 없다""고 말했다. ◎공감언론 뉴시스 [email protected]"
"""AI가 쓴 책 아닙니다""…'인간 저술' 보증제 도입한 출판사","인공지능이 자동 생성하는 이른바 '딸깍 도서'의 범람을 둘러싼 논란이 커지는 가운데 국내 한 출판사가 AI가 아닌 사람이 쓴 출판물임을 보여주는 보증제를 도입하기로 했다. 커뮤니케이션북스는 오는 10일부터 자사 브랜드 도서에 '인간 저술 출판물' 보증 마크를 표시할 계획이라고 9일 밝혔다. AI가 아닌 인간이 주도적으로 집필한 저작물임을 명확히 하고, AI 활용 여부에 대한 투명성을 높여 독자의 알권리를 강화하기 위한 것이라고 출판사는 설명했다. 인공지능이 자동으로 줄인 '세 줄 요약' 기술을 사용합니다. 전체 내용을 이해하기 위해서는 기사 본문과 함께 읽어야 합니다."
